ID,STU_CODE,RFID_CODE
1,5901001610019,
2,5901001610027,
3,5901001610035,
4,5901001610043,
5,5901001610051,
6,5901001610060,
7,5901001610078,
8,5901001610086,
9,5901001610094,
10,5901001610108,
11,5901001610116,
12,5901001610124,
13,5901001610132,
14,5901001610141,
15,5901001610159,
16,5901001610167,
17,5901001610175,
18,5901001610183,
19,5901001610191,
20,5901001610205,
21,5901001610213,
22,5901001610221,
23,5901001610230,
24,5901001611015,
25,5901001611023,
26,5901001611031,
27,5901001611040,
28,5901001611058,
29,5901001611066,
30,5901001611074,
31,5901001611082,
32,5901001611091,
33,5901001611104,
34,5901001611112,
35,5901001611121,
36,5901001611139,
37,5901001611147,
38,5901001611155,
39,5901001611163,
40,5901001611171,
41,5901001611180,
42,5901001611198,
43,5901001611201,
44,5901001611210,
45,5901001611228,
46,5901001611236,
47,5901001612011,
48,5901001612020,
49,5901001612038,
50,5901001612046,
51,5901001612054,
52,5901001612062,
53,5901001612071,
54,5901001612089,
55,5901001612097,
56,5901001620014,
57,5901001620022,
58,5901001620031,
59,5901001620049,
60,5901001620057,
61,5901001620065,
62,5901001620073,
63,5901001620081,
64,5901001621011,
65,5901001621029,
66,5901001621037,
67,5901001621045,
68,5901001621053,
69,5901001621061,
70,5901001621070,
71,5901001621088,
72,5901001622017,
73,5901001622025,
74,5901001622033,
75,5901001622041,
76,5901001622050,
77,5901001622068,
78,5901001622076,
79,5901001622084,
80,5901001622092,
81,5901001622106,
82,5901001622114,
83,5901001622122,
84,5901001630010,
85,5901001630028,
86,5901001630036,
87,5901001630044,
88,5901001630052,
89,5901001630061,
90,5901001630079,
91,5901001630087,
92,5901001630095,
93,5901001631016,
94,5901001631024,
95,5901001631032,
96,5901001631041,
97,5901001631059,
98,5901001631067,
99,5901001631075,
100,5901001631083,
101,5901001631091,
102,5901001632012,
103,5901001632021,
104,5901001632039,
105,5901001632047,
106,5901001632055,
107,5901001632063,
108,5901001632071,
109,5901001632080,
110,5901001632098,
111,5901001632101,27362872
112,5901001632110,
113,5901001632128,
114,5901001632136,
115,5901001632144,
116,5901001810018,57A22772
117,5901001810026,27362872
118,5901001810034,
119,5901001810042,
120,5901001810051,
121,5901001810069,
122,5901001810077,
123,5901001810085,
124,5901001860015,
125,5901002610012,
126,5901002610021,
127,5901002610039,
128,5901002610047,
129,5901002610055,
130,5901002610063,
131,5901002610071,
132,5901002610080,
133,5901002610098,
134,5901002610101,
135,5901002610110,
136,5901002610128,
137,5901002610136,
138,5901002610144,
139,5901002610152,
140,5901002610161,
141,5901002620018,
142,5901002630013,
143,5901002630021,
144,5901002630030,
145,5901002630048,
146,5901002630056,
147,5901002630064,
148,5901002630072,
149,5901002630081,
150,5901002630099,
151,5901002630102,
152,5901002630111,
